"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","926","false","5","u","926","false","375130","false",,"false","20382331.543",,"20382331.543","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","477194.207","true",,"false",,"32093117.673","32093117.673","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","1133","false","5","u","1133","false","492385","false",,"false","8199185.934",,"8199185.934","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","4284","false","5","u","4284","false","2209095","false",,"false",,"180765692.213","180765692.213","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010210","Bovine animals; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","7290","false","5","u","7290","false","4098301","false",,"false","16388116.797",,"16388116.797","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010210","Bovine animals; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","104810","false","5","u","104810","false","55886584.896","true",,"false",,"253058732.546","253058732.546","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010290","Bovine animals; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","105415","false","5","u","105415","false","30599896","false",,"false","109305770.552",,"109305770.552","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010290","Bovine animals; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","572857","false","5","u","572857","false","41749415","false",,"false",,"166733583.144","166733583.144","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010310","Swine; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","102628","false","5","u","102628","false","8458535","false",,"false","31993210.01",,"31993210.01","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010310","Swine; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","20585","false","5","u","20585","false","1916794","false",,"false",,"11598856.481","11598856.481","0","false","true",
