"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010620","Reptiles; live (including snakes and turtles)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","662782","false","-1","N/A",,"false","23511","true",,"false","3978393",,"3978393","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010620","Reptiles; live (including snakes and turtles)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6474171","false","-1","N/A",,"false","195506","true",,"false",,"21826234","21826234","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010631","Animals; live, birds of prey","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false",,"false",,"false","13342",,"13342","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010631","Animals; live, birds of prey","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","16","false","-1","N/A",,"false",,"false",,"false",,"40456","40456","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010632","Animals; live, birds, Psittaciformes","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","14639","false","-1","N/A",,"false",,"false",,"false","65320",,"65320","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010632","Animals; live, birds, Psittaciformes","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","992","false","-1","N/A",,"false",,"false",,"false",,"240371","240371","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010639","Animals; live, birds, other than birds of prey and Psittaciformes","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","131721","false","-1","N/A",,"false","15628","true",,"false","1378030",,"1378030","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010639","Animals; live, birds, other than birds of prey and Psittaciformes","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","89916","false","-1","N/A",,"false","18049","true",,"false",,"2378270","2378270","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","56169316",,"56169316","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"15911570","15911570","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2793593","false","-1","N/A",,"false","2793593","false",,"false","16377572",,"16377572","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2843825","false","-1","N/A",,"false","2843825","false",,"false",,"11832525","11832525","0","true","false",
